,char,movie,mbti,votes
0,Simon Seville,Alvin And The Chipmunks (2007),XXXX,1.7k Pdb Votes
1,Darth Vader,Star Wars,ISTJ,3.3k Pdb Votes
2,Tigress,Kung Fu Panda (Franchise),ISTJ,1.7k Pdb Votes
3,Marlin,Finding Nemo (Franchise),ISTJ,1.1k Pdb Votes
4,Bolt,Bolt (2008),ISTJ,492 Pdb Votes
5,Alma “Abuela” Madrigal,Encanto (2021),ISTJ,1.9k Pdb Votes
6,Maximus Decimus Meridius,Gladiator (2000),XXXX,973 Pdb Votes
7,Slater,Resident Evil,ISTJ,11 Pdb Votes
8,Branch,Trolls (2016),ISTJ,508 Pdb Votes
9,Carl Fredricksen,Up (2009),ISTJ,1.7k Pdb Votes
10,Astrid Hofferson,How to Train Your Dragon (Franchise),ISTJ,1.3k Pdb Votes
11,Stilgar,Dune (2021),ISTJ,227 Pdb Votes
12,Vidia,Tinker Bell (2008),ISTJ,1.2k Pdb Votes
13,"Officer K / ""Joe""",Blade Runner,ISTJ,971 Pdb Votes
14,Mel Jones,Coraline (2009),ISTJ,699 Pdb Votes
15,Jason Voorhees,Friday the 13th (1980),ISTJ,459 Pdb Votes
16,Anton Ego,Ratatouille (2007),ISTJ,911 Pdb Votes
17,Lucille Sharpe,Crimson Peak (2015),ISTJ,241 Pdb Votes
18,White Rabbit,Alice in Wonderland (1951),ISTJ,380 Pdb Votes
19,EVE,WALL-E (2008),ISTJ,928 Pdb Votes
20,Knuckles the Echidna,Sonic the Hedgehog (Film Series),ISTJ,380 Pdb Votes
21,Nanny McPhee,Nanny McPhee (2005),ISTJ,145 Pdb Votes
22,Grumpy,Snow White and the Seven Dwarfs (1937),ISTJ,262 Pdb Votes
23,Rabbit,Winnie the Pooh (Franchise),ISTJ,392 Pdb Votes
24,Minerva McGonagall,Harry Potter / Wizarding World Films,ISTJ,1.1k Pdb Votes
25,Asia,The Tearsmith (2024),ISTJ,14 Pdb Votes
26,King Harold,Shrek (Franchise),ISTJ,260 Pdb Votes
27,Léon,Léon: The Professional (1994),ISTJ,675 Pdb Votes
28,Edmund Exley,L.A. Confidential (1997),ISTJ,89 Pdb Votes
29,Master Shifu,Kung Fu Panda (Franchise),ISTJ,1.2k Pdb Votes
30,Sebastian,The Little Mermaid (1989),ISTJ,381 Pdb Votes
31,Wilhuff Tarkin,Star Wars,ISTJ,407 Pdb Votes
32,Mace Windu,Star Wars,ISTJ,639 Pdb Votes
33,Prince Henry,Damsel (2024),ISTJ,67 Pdb Votes
34,Noodle,Wonka (2023 Movie),ISTJ,233 Pdb Votes
35,Kim Sang Deok,Exhuma (2023),XXXX,20 Pdb Votes
36,Shaddam Corrino IV,Dune (2021),ISTJ,65 Pdb Votes
37,Doric,Dungeons & Dragons: Honor Among Thieves (2023),ISTJ,241 Pdb Votes
38,Gurney Halleck,Dune (2021),ISTJ,185 Pdb Votes
39,Tick Wills,Southpaw (2015),ISTJ,14 Pdb Votes
40,Frank Martin,Transporter,ISTJ,56 Pdb Votes
41,Doc Hudson,Cars (Franchise),ISTJ,325 Pdb Votes
42,Stinky Pete the Prospector,Toy Story (Franchise),ISTJ,206 Pdb Votes
43,Dr. Lawrence Gordon,Saw Series (2004),ISTJ,168 Pdb Votes
44,Mark Darcy,Bridget Jones's Diary (franchise),ISTJ,346 Pdb Votes
45,Dr. John Watson,Sherlock Holmes,ISTJ,225 Pdb Votes
46,Susan Pevensie,The Chronicles of Narnia (Film Trilogy),ISTJ,619 Pdb Votes
47,Margo Gru,Despicable Me (Franchise),ISTJ,546 Pdb Votes
48,Maximus,Tangled (2010),ISTJ,606 Pdb Votes
49,Anaya,Kingdom of the Planet of the Apes,ISTJ,8 Pdb Votes
50,Mack,Migration (2023),ISTJ,73 Pdb Votes
51,Leonard,The Outfit,ISTJ,38 Pdb Votes
52,Chris Flynn,Wrong Turn (2003),ISTJ,31 Pdb Votes
53,Mya,Think Like a Man (2012),ENFP,21 Pdb Votes
54,Sam Cahill,Brothers (2009),ISTJ,74 Pdb Votes
55,Delancy Devin,Barbie: Princess Charm School,ISTJ,366 Pdb Votes
56,Beezus,Ramona and Beezus (2010),ISTJ,43 Pdb Votes
57,Christian Wolff,The Accountant (2016),ISTJ,111 Pdb Votes
58,Reynolds Woodcock,Phantom Thread (2017),ISTJ,213 Pdb Votes
59,Queen Elinor,Brave (2012),ISTJ,578 Pdb Votes
60,Leonard Shelby,Memento (2000),ISTJ,382 Pdb Votes
61,Count Dracula,Hotel Transylvania (2012),ISTJ,850 Pdb Votes
62,Bagheera,The Jungle Book (1967),ISTJ,170 Pdb Votes
63,Sya (ASP SYAZLIN),Sheriff: Narko Integriti,ISTJ,2 Pdb Votes
64,Wera,"Mantra Warrior, Legend of the Eight Moons",XXXX,4 Pdb Votes
65,Earth,Elemental,ISTJ,7 Pdb Votes
66,Captain Elliott,The Last Voyage of the Demeter,ISTJ,23 Pdb Votes
67,Paul,Arcadian (2024),ISTJ,6 Pdb Votes
68,Rudolf Höss,The Zone of Interest (2023),ISTJ,53 Pdb Votes
69,Айгуль,Слово пацана. Кровь на асфальте / Slovo patsana,ISTJ,100 Pdb Votes
70,"Arthur Wellesley, Duke of Wellington","Napoleon ""Kitbag"" (2023)",ISTJ,11 Pdb Votes
71,'Maxim' de Winter,Rebecca ( 1940 ),XXXX,12 Pdb Votes
72,Sheriff Eric Newlon,Thanksgiving (2023),ISTJ,28 Pdb Votes
73,Robert Jefferson,Diary of a Wimpy Kid (Series),ISTJ,18 Pdb Votes
74, Nora,The Farm,XXXX,13 Pdb Votes
75,Joon-Young,unlocked,ISTJ,163 Pdb Votes
