timestamp,username,consent,age_confirmation,mbti,mbti_test,char_movie1,char_movie2,char_movie3,char_movie4,char_movie5,char_movie6,char_movie7,char_movie8,char_movie9,char_movie10,comments
05/01/2024 2:06,wigfredFan,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Howl//Howl's Moving Castle,Paul Atreides//Dune,Ofelia//Pan's Labyrinth ,Maximus//Gladiator ,,,,,,,
05/01/2024 6:04,toji,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,Professor Langdon//The Da Vinci Code,Evelyn Salt// SALT,Master Oogway//Kung Fu Panda (2008),Suzume Iwato//Suzume no Tojimari,,,,,,,
05/01/2024 8:21,hahaguffawchucklemanus,I agree.,"Yes, I am at least 18 years old.",INTP,michaelcaloz.com,captain underpants// Captain Underpants: The First Epic Movie,iron man// endgame,spider-punk// across the spiderverse,bowser// the mario movie,,,,,,,nuh-uh
05/01/2024 9:30,Kok0,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Alice//Plus One,Yas//Rye Lane,Arthur//Past Lives,Sasha Tran//Always Be My Maybe,Leia Organa//Star Wars,Lucy//Two Weeks Notice,Dani//Midsommar,Emily//Corpse Bride,,,
05/01/2024 14:51,ThanSuc711,I agree.,"Yes, I am at least 18 years old.",ENTJ,16Personalities,Hiro Hamada//Big Hero 6,Miles Morales//Spider-Man: Into the Spider-Verse,Mai//Next Gen,Hogarth Hughes//The Iron Giant,Tony Stark//Iron Man,Peter Parker//Spiderman,Neo//Matrix,Dr. Emmett Brown//Back to the Future,Jim Preston//Passengers,Mark Watney//The Martian,
05/01/2024 16:00,maestro,I agree.,"Yes, I am at least 18 years old.",ISTJ,16Personalities,Park Ki Joon//Midnight Runners,Padre Burgos//Gomburza,Howl//Howl’s Moving Castle,Shun//From Up on Poppy Hill,,,,,,,
05/02/2024 9:16,Sure 👌,I agree.,"Yes, I am at least 18 years old.",INFP,Cognitive functions self-typing,Elle Woods//Legally Blondes,Regina George//Mean Girls,Isabelle Madrigal//Encanto,Howl//Howl's Moving Castle,Sophie//Howl's Moving Castle,Barbie//Barbie: A Fairy Secret,Rajun//3 idiots,Elsa//Frozen (2013),Mei Mei//Jujutsu Kaisen: 0,Gojo//Jujutsu Kaisen: 0,More colors pls but it's on you tho ❣️
05/02/2024 9:38,yuehanbaolin,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Bruce Wayne//The Dark Knight (2008),Joseph Cooper//Interstellar,Paul Hunham//The Holdovers,Oskar Schindler//Schindler's List,Andy Dufresne//The Shawshank Redemption,Forrest Gump//Forrest Gump,John Anderton//Minority Report,John Miller//Saving Private Ryan,Riggan Thomson//Birdman,John Nash//A Beautiful Mind,"This is a great initiative! I'm so glad to participate. I look forward to your insights on the data as I consider myself a cinephile and to some extent, with a slight fascination on human psychoanalysis. Thanks in advance."
05/02/2024 13:11,datafreelancer2025,I agree.,"Yes, I am at least 18 years old.",INFJ,I forgot,Elle Woods//Legally Blonde,Trinity//Matrix 1,Sarah Connor//Terminator 2,Galadriel//Lord Of The Rings The Two Towers,Hermione Granger//Harry Potter Goblet Of Fire,Katniss Everdeen//The Hunger Games (2012),Emma Woodhouse//Emma (Gwyneth Paltrow Version),Elizabeth Bennet//Pride And Prejudice(2005),Jane Smith//Mr & Mrs Smith,Nina//Point Of No Return,GoodLuck!  Please offer to publish your findings and post in our DEP group
05/02/2024 22:34,indakosaiiimoo,I agree.,"Yes, I am at least 18 years old.",ENFP,sakinorva.net,Joy//Inside Out,Henry Roth//50 first dates,Elle Woods//Legally Blonde,,Wade//Elemental,Augustus//The Fault in Our Stars,Weird Barbie//Barbie,Veneer//Trolls Band Together,Arrietty//The Secret World of Arrietty,Benji//Pitch Perfect,
05/03/2024 2:54,MapleMoon7,I agree.,"Yes, I am at least 18 years old.",INTJ,16Personalities,Hermione//Harry Potter,Blue//Jurassic World,Bakugo///My Hero Academia,Benji//Mission: Impossible,,,,,,,
05/03/2024 3:35,PUNK.4T.HEART,I agree.,"Yes, I am at least 18 years old.",ENTJ,Cognitive functions self-typing,Cobb//Inception,Baby//Baby Driver,Hobart Brown//Spider-man: Across the Spider-Verse,Han Lue//The Fast and the Furious: Tokyo Drift,,,,,,,
05/03/2024 3:42,SleepOnNails,I agree.,"Yes, I am at least 18 years old.",ISTP,Cognitive functions self-typing,Jack Frost//Rise of The Guardians,Hawkeye//Avengers: Age Of Ultron,12th Doctor//Twice Upon a Time,The Flash//Justice League: Crisis on Infinite Earths (2024),,,,,,,
05/03/2024 4:35,Bana,I agree.,"Yes, I am at least 18 years old.",ISTJ,Cognitive functions self-typing,Summer//500 days of summer,Dani//Midsommar,Amy//gone girl ,Miranda//the devil wears prada,Justine//melancholia ,Lady Bird//Lady Bird,Gary//Licorice Pizza,,,,
05/03/2024 4:56,CupcakeWolf,I agree.,"Yes, I am at least 18 years old.",ISFJ,16Personalities,Will Turner//Pirates of the Caribbean,Alice//Alice in Wonderland (1951),Obi-Wan//Star Wars,Captain America//Avengers,,,,,,,
05/03/2024 5:43,Skibidipao,I agree.,"Yes, I am at least 18 years old.",ISFJ,Voice recording by proffesional typists,Forest gump//Forest Gump,Ferdinand the bull//ferdinand the bull (1938),Obi wan kenobi // Star Wars,,,,,,,,Nope
05/03/2024 6:05,Princess No,I agree.,"Yes, I am at least 18 years old.",ISTJ,I honestly don't remember but I get ISTJ every time so,Ellen Ripley//Alien,Obi-Wan Kenobi//Star Wars,Rita//Edge of Tomorrow,The Dude//The Big Lebowski,Miller//Event Horizon,Sarah Connor//Terminator,,,,,I will no doubt think of a billion more at 3AM but hopefully this helped
05/03/2024 6:33,Bonita42,I agree.,"Yes, I am at least 18 years old.",ISFJ,16Personalities,Westley//The Princess Bride,Korso//Titan A.E.,Aragorn//The Lord of the Rings,Dastan//Prince of Persia: The Sands of Time,Jack Callaghan//While You Were Sleeping,Robin Hood//Robin Hood,George Bailey//It's A Wonderful Life,Jake 'Hangman' Seresin//Top Gun: Maverick,Rick O'Connell//The Mummy,Henry Tilney//Northanger Abbey,
05/03/2024 9:35,Goobere,I agree.,"Yes, I am at least 18 years old.",INTP,michaelcaloz.com,Klaus//Klaus,Rango//Rango,Iron Giant//The Iron Giant,Wall-E//WALL.E,,,,,,,"Saying a ""favorite"" is difficult. If I fill this survey again in a month half my answers would likely change."
05/03/2024 9:39,uta,I agree.,"Yes, I am at least 18 years old.",ISTP,16Personalities,Mima Kirigoe//Perfect Blue ,Astronaut Sam//Moon (2009),Ripley//Alien ,Motoko//Ghost in the shell,,,,,,,
05/03/2024 11:37,cistjye5,I agree.,"Yes, I am at least 18 years old.",ISTJ,Administered by institution,Forrest Gump // Forrest Gump,Sebastian //La La Land (2016),Mia //La La Land (2016),Andrew // Whiplash,Hermione // Harry Potter,Aragorn // Lord of the Rings,,,,,
05/03/2024 12:09,Erminegarde,I agree.,"Yes, I am at least 18 years old.",ISFJ,Meyers Briggs,Cinderella // Cinderella (2015),Elinor//Sense and Sensibility (1995),Elwood Blues//The Blues Brothers ,Lizzie Bennet//Pride and Prejudice (2005),Stitch//Lilo and Stitch,The Djinn//Three Thousand Years of Longing,,,,,
05/03/2024 12:16,MEHEHEHEHEHHEHEHEHEHE,I agree.,"Yes, I am at least 18 years old.",ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,THE FOX//The little prince,MALEFICENT//Maleficent,HAKU//Spirited away,TURNIP//Howls moving castle,PONYO//ponyo,MAVIS DRACULA//Hotel Transylvania (2012),MURRAY//Hotel Transylvania ,,,,"Other than movie, add serie:<"
05/03/2024 12:28,Martyhadalittlelambwithjelly,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Bob Harris//Lost in Translation,Ellen Ripley//Alien,Charlotte//Lost in Translation,Wade Wilson//Deadpool,Hermione//The Deathly Hallows: Part I,Juno MacGuff//Juno,Alexander Dane//Galaxy Quest,Chris Nielsen//What Dreams May Come,Prince Akeem//Coming to America,Pope Benedict//The Two Popes,
05/03/2024 15:22,harp2,I agree.,"Yes, I am at least 18 years old.",ISTP,Truity,Neil Perry//Dead poets society ,J.  Daniel Atlas//Now You See Me,Shrek//Shrek (2001),Toothless//how  to train your dragon,,,,,,,i forgot all the movies i ever watched while taking this. cool survey though!
05/03/2024 20:36,That1guythat8thesurvey,I agree.,"Yes, I am at least 18 years old.",ISTP,Cognitive functions self-typing,Coraline//Coraline,Iva//WALL.E,Matilda//Matilda,Lapis lazuli//Steven Universe the movie,Dori//finding Nemo ,Wallace//Scott Pilgrim vs The World,,,,,
05/03/2024 23:23,excess,I agree.,"Yes, I am at least 18 years old.",ESTP,Cognitive functions self-typing,Robocop//Robocop,Blind Al//Deadpool,Frank Castle//The Punisher,Ursula//The Little Mermaid,,,,,,,"if possible, notify when you post final results."
05/03/2024 23:26,birdd,I agree.,"Yes, I am at least 18 years old.",ISFP,Cognitive functions self-typing,Philippe Petit//The Walk,John Rambo//Rambo: First Blood,Strider//The Lord of the Rings,Joseph Cooper//Interstellar,,,,,,,
05/04/2024 0:07,Rogue,I agree.,"Yes, I am at least 18 years old.",ESTJ,Cognitive functions self-typing,Mr Fox//Fantastic Mr.fox,SoundWave//Transformers: dark of the moon,Michael Nantz//Battle Los Angeles ,Hermione Granger//Harry Potter,Owen Grady//Jurassic World  ,Auto//WALL.E,‪Khaevis//Damsel,Frank Martin//the transporter,Jake Lonergan//Cowboys & Aliens,Cam//Tracers,
05/04/2024 0:12,RUF34,I agree.,"Yes, I am at least 18 years old.",INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Morticia Addams//The Addams Family,Trinity//The Matrix,John Wick//John Wick (2014),Jack Sparrow//Pirates of the Caribbean,,,,,,,
05/04/2024 0:28,cookie4,I agree.,"Yes, I am at least 18 years old.",ESTP,16Personalities,Regina George//Mean Girls,Nick Wilde//Zootopia,Ken//Barbie,Flynn Rider//Tangled,,,,,,,
05/04/2024 0:30,AlphaOmega0215,I agree.,"Yes, I am at least 18 years old.",ENFP,16Personalities,Miles Morales//Into the Spider-Verse,John Wick//John Wick (2014),Officer K//Blade Runner 2049,Captain Jack Sparrow//Pirates of the Caribbean: At World's End,,,,,,,
05/04/2024 0:31,123456789,I agree.,"Yes, I am at least 18 years old.",ISTP,Cognitive functions self-typing,flynn rider//tangled,merida//brave (2012),megara//hercules,alice//alice in wonderland,,,,,,,
05/04/2024 0:35,ghostofsparta,I agree.,"Yes, I am at least 18 years old.",ESTJ,Cognitive functions self-typing,John Kramer//Saw,Galvatron//Transformers: The Movie,Sweeney Todd//Sweeney Todd: Demon-barber from Fleet Street,Freddy Krueger//Nightmare on Elm Street,Billy Loomis//Scream,,,,,,
05/04/2024 0:39,en4y,I agree.,"Yes, I am at least 18 years old.",INTJ,Truity,Newt//Maze Runner,Elsa//Frozen (2013),Wade//Elemental (2023),Margot//The Menu,,,,,,,
05/04/2024 0:47,Flower,I agree.,"Yes, I am at least 18 years old.",ENFP,Cognitive functions self-typing,Tony Stark//Iron Man,Harley Quinn//Suicide Squad,Fleur//The Way We Dance,Neo//The Matrix,,,,,,,
05/04/2024 1:36,fyiuhjv,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,Luna Lovegood//Harry Potter,Alan Turing//The Imitation Game,Dr. Emmett Brown//Back to the Future,,,,,,,,
05/04/2024 1:48,Gdsvyrdd,I agree.,"Yes, I am at least 18 years old.",INTJ,16Personalities,Simon Tam//Serenity,Q//Skyfall,Quincy Powell//Juice,Ave//Primer,,,,,,,"It's hard to pick single characters in isolation of the movie itself.  I'm probably forgetting some obvious ones just because I've mentally discarded the whole movie, even though I liked a character.  And on the flip side e.g. Apollo 13 movie was really interesting to me but I don't remember liking any of the characters all that much."
05/04/2024 1:52,User ISTJ,I agree.,"Yes, I am at least 18 years old.",ISTJ,Truity,President Snow//The Hunger Games (2012),Tiana//Princess and the Frog,Nanami//Jujutsu Kaisen,Frollo//The Hunchback of Notre Dame,Scar//The Lion King,,,,,,Include shows and games as well
05/04/2024 2:08,H2018y,I agree.,"Yes, I am at least 18 years old.",INTJ,I used several sites to ensure that it was consistent.,Beau Wassermann//Beau is Afraid,Karl Childers//Sling Blade,Annie Graham//Hereditary,Dawn Davenport//Female Trouble,Marty Puccio//Bully,Carrie White//Carrie,Martin Matthias//Martin,Mike Waters//My Own Private Idaho,Dolores Claiborne//Dolores Claiborne,Butch//Dog Pound,"This is an incredibly interesting project. 
When the results are out, please notify me at hereditary@onmail.com. "
05/04/2024 2:21,Enfj321,I agree.,"Yes, I am at least 18 years old.",ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Thor Odinson//Thor:Ragnarok,Captain America//Avengers: Endgame,Peter Quill//Guardians of the Galaxy Vol. 2,Joel Barish//Eternal Sunshine of the Spotless Mind,Amelie Poulain//Amelie,Moana Waialiki//Moana,,,,,"There are some movies that I absolutely love (Brazil) but not because I specifically likes the characters, but instead I like the concept. Hopefully that makes sense."
05/04/2024 3:30,purpleelephant1311,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,"Susanna//Girl, Interrupted",Westley//The Princess Bride,Weird Barbie//Barbie,Sam//Stuck in Love,,,,,,,
05/04/2024 3:35,Goldfish,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,Hannibal Lecter//The Silence of the Lambs,Bucky Barnes//Captain America: The Winter Soldier,Stephen Strange//Doctor Strange,Miranda Priestly//The Devil Wears Prada,Mr Poppy//Nativity,Hermione Granger//Harry Potter and the Sorcerer's Stone,,,,,
05/04/2024 4:03,SafetyFlux,I agree.,"Yes, I am at least 18 years old.",ISFP,16Personalities,Nimona//Nimona,Peter Parker//The Amazing Spider-Man,Gwen Stacy//Spider-Man: Into the Spider-Verse,Kronk//The Emperor's New Groove,,,,,,,
05/04/2024 5:04,Neon,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,Severus Snape//Harry Potter: the Half-Blood Prince,John Wick//John Wick (2014),Darth Vader//Star Wars III: Revenge of the Sith,Sauron//Lord of the Rings: the Fellowship of the Ring,,,,,,,
05/04/2024 5:32,Thursday13,I agree.,"Yes, I am at least 18 years old.",INFP,can't remember,Lux Lisbon//The Virgin Suicides,Luna Lovegood//Harry Potter,Carol Ledoux//Repulsion,Carrie White//Carrie,,,,,,,
05/04/2024 5:35,laypayhey,I agree.,"Yes, I am at least 18 years old.",ESTJ,16Personalities,Daniel Henney// Seducing Mr Perfect,Teo Yoo // Past Lives,,Choi Woo Shik // Parasite,,,,,,,"I don’t actually watch many movies so a better question would have been what characters in tv shows do I watch as this was quite hard to choose, as I had to think of movies I’ve watched recently. I’m not sure if these are my top favourites but certainly ones I’ve enjoyed watching."
05/04/2024 5:37,Bunny,I agree.,"Yes, I am at least 18 years old.",ENFJ,I truly dont remember now and dont want to answer falsely,Dr. Horrible//Dr. Horribles Sing Along Blog,White Knight//Alice In Wonderland (1999),"Ulysses Everett McGill//O Brother, where art thou?",Happy Gilmore//Happy Gilmore,,,,,,,
05/04/2024 5:52,keepsie,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities, The Unicorn // The Last Unicorn,Star // American Honey,Ricky Fitts // American Beauty,Charlotte // Lost in Translation,,,,,,,
05/04/2024 6:01,MrMasterofMIV,I agree.,"Yes, I am at least 18 years old.",ISFJ,16Personalities,Cogo//starzinger,Daniel Jackson//stargate sg1,Rambo//rambo,Jack sparrow//pirates of caribbean,Thor//thor,,,,,,
05/04/2024 6:09,M1a1,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,V//V for vendetta ,Ripley//Alien,Ash//evil dead,Neo//The matrix,Rico//starship troopers ,,,,,,
05/04/2024 6:31,Platosaurus,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,Aragorn//The Lord of the Rings,Natasha Romanov//Avengers: Endgame,Enola Holmes//Enola Holmes,Captain Klenzendorf//Jojo Rabbit,,,,,,,"Honestly, I realized that I connect more with characters in series than in films. I guess it takes a while to figure make an impact."
05/04/2024 8:07,Z4cHth3l3g0m4ni@c,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,Hannibal Lecter//Silence of the Lambs,Emmet//Lego Movie,Thanos//Avengers: Infinity War,Dr. Facilier//Princess and the Frog,Miranda Priestly//The Devil Wears Prada,Immortan Joe//Mad Max: Fury Road,,,,,Do you love me? UwU
05/04/2024 8:20,Dakota,I agree.,"Yes, I am at least 18 years old.",ENFJ,michaelcaloz.com,Ferris Bueller // Ferris Bueller's Day Off,Daphne // Some Like it Hot,Inigo Montoya // Princess Bride,Mercutio // Romeo + Juliet,,,,,,,
05/04/2024 11:04,aubswahahah,I agree.,"Yes, I am at least 18 years old.",ENFP,16Personalities,Jo March//Little Women,Louisa Clark//Me Before You,Anna// Frozen (2013),Clementine// Eternal Sunshine of the Spotless Mind,,,,,,,
05/04/2024 11:18,Mako,I agree.,"Yes, I am at least 18 years old.",ISFP,I forgot :( sorry marco,Taki//Your Name,Suzume//Suzume,"Alex//Red, White & Royal Blue","Henry//Red, White & Royal Blue",,,,,,,N/A
05/04/2024 11:52,WillowTree,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,Ishaan//Like stars on earth,Merida//Merida,Evelyn//Salt (2010),Otto//A man called otto,,,,,,,none
05/04/2024 11:53,Gargled,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,ben solo//the last jedi,estella miller//cruella,flynn mcgarry//chef flynn,willy wonka//charlie and the chocolate factory ,kevin khatchadourian//we need to talk about kevin,Ursula//kiki's delivery service ,loki laufeyson//thor,colette tatou//ratatouille,felonious gru//despicable me,mulan//mulan,
05/04/2024 12:07,Test Subject 2163-A,I agree.,"Yes, I am at least 18 years old.",ENTP,Cognitive functions self-typing,Lord Shen//Kung Fu Panda 2,Megamind//Megamind,Miles Morales//Into the Spiderverse,,,,,,,,
05/04/2024 12:16,Danny,I agree.,"Yes, I am at least 18 years old.",ESTJ,Truity,Superman//Superman (1978),Aragorn//Lord of the Rings,Lt Dan Taylor//Forrest Gump,Obi-Wan Kenobi//Star Wars Episode 3,,,,,,,
05/04/2024 13:26,SDRS13,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Richie Tozier//IT (2017),"Susan Pevensie//Chronicles of Narnia: The Lion, The Witch, and The Wardrobe",Legolas//Lord of the Rings,Sirius Black//Harry Potter and Order of the Phoenix,"Murphy ""Murph"" Cooper//Interstellar",Patrick Stewart//The Perks of Being a Wallflower,Albert Narracott//War Horse,Jasmine//Aladdin,Peter B. Parker//Spiderman: Into the Spiderverse,Hector Rivera//Coco,"Based on a charting of favorite characters from media I have enjoyed over the years, something I had created a list of in excel, it would appear that my favorite characters mbti seems to follow different patterns in movies vs series. Overall, I seem to gravitate most toward extroverted and perceiving characters, with varied combinations of the center letters."
05/04/2024 15:17,97hbjcdtrd56,I agree.,"Yes, I am at least 18 years old.",INFJ,academic setting - MBTI test,Yoda//Empire Strikes Back,Rick Blaine//Casablanca,Theoden//The Two Towers,Jeriba//Enemy Mine,,,,,,,
05/04/2024 17:16,philio756,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Hermoine//Harry Potter,Darcy//Pride and prejudice,Anastasia//Anastasia,Will traynor//Me before you,,,,,,,
05/04/2024 18:06,v453v3,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,Chloe Beale//Pitch Perfect,The Female//Under the Skin,Violet Evergarden//Violet Evergarden: The Movie,Alita//Alita: Battle Angel,Izzy//Izzy Gets the Fuck Across Town,Megan Walsh//Barely Lethal,,,,,"In case of ambiguity: #2 is Scarlett Johansson's character in the 2013 film ""Under the Skin"""
05/05/2024 2:57,GenericUsername69,I agree.,"Yes, I am at least 18 years old.",ISTP,Sakinorva,Postal Dude//Postal (2007),John McClane//Die Hard (1988),Rick Deckard//Blade Runner (1982),Eric Draven//The Crow (1994),,,,,,,N/A
05/05/2024 13:19,NateN420,I agree.,"Yes, I am at least 18 years old.",ISTP,16Personalities,Captain Jack Sparrow//Pirates of the Caribbean: The Curse of the Black Pearl,Jason Bourne//The Bourne Identity,Credence Barebone//Fantastic Beasts and Where to Find Them,Harry Callahan//Dirty Harry,,,,,,,
05/05/2024 19:16,julilayrae,I agree.,"Yes, I am at least 18 years old.",INFJ,Cognitive functions self-typing,Nina Sayers//Black Swan,Forrest Gump//Forrest Gump,Jack Skellington//Nightmare Before Christmas,Elizabeth Anne Sanders//Buffy The Vampire Slayer,Wyborne (Wybie) Lovat//Coraline,,,,,,
05/05/2024 21:33,ceruleansixeyes,I agree.,"Yes, I am at least 18 years old.",ENTJ,16Personalities,Jack Sparrow//Pirates of the Caribbean,Nick Wilde//Zootopia,Willy Wonka//Wonka,Bucky Barnes//Captain America: The Winter Soldier,Flynn Rider//Rapunzel,Sirius Black//Harry Potter,Edmund Pevensie//The Chronicles of Narnia,,,,
05/06/2024 2:41,Qunxi,I agree.,"Yes, I am at least 18 years old.",INFP,michaelcaloz.com,Dale Cooper//Fire walk with me,Paul Atreides//Dune,Vito Corleone//The Godfather,Ashitaka//Princess Mononoke,,,,,,,
