id,person_mbti,mbti_test,character,movie
18,ENFP,16Personalities,honey lemon,big hero 6
19,ENFP,16Personalities,Katniss Everdeen ,The Hunger Games (2012)
19,ENFP,16Personalities,Debbie ,Ocean's 8
19,ENFP,16Personalities,Roxy ,Kingsman: The Secret Service
19,ENFP,16Personalities,Rachel Chu ,Crazy Rich Asians
19,ENFP,16Personalities,Elle Woods ,Legally Blonde
19,ENFP,16Personalities,Chris Gardner,The Pursuit of Happyness
19,ENFP,16Personalities,Lucy Gray ,The Ballad of Songbirds and Snakes (2023)
19,ENFP,16Personalities,Julie ,Warm Bodies
19,ENFP,16Personalities,Trinity ,Matrix
19,ENFP,16Personalities,Marta Cabrera ,Knives Out
20,ENFP,keys2cognition.com and dove into cognitive functions,Juli Baker,Flipped
20,ENFP,keys2cognition.com and dove into cognitive functions,Merida,Brave (2012)
20,ENFP,keys2cognition.com and dove into cognitive functions,Rapunzel,Tangled
20,ENFP,keys2cognition.com and dove into cognitive functions,Spirit,Spirit: Stallion of the Cimarron
20,ENFP,keys2cognition.com and dove into cognitive functions,Elizabeth Bennet,Pride & Prejudice (2005)
21,INFP,16Personalities,Nicole Barber,Marriage Story
21,INFP,16Personalities,Lisa,Ponyo
21,INFP,16Personalities,Shoko Nishimiya,A Silent Voice
21,INFP,16Personalities,Linda Go,Mano Po 1: My Family
21,INFP,16Personalities,Lin,Spirited Away
21,INFP,16Personalities,Chiron,Moonlight
21,INFP,16Personalities,Dory,Finding Nemo
21,INFP,16Personalities,Karen Smith,Mean Girls
21,INFP,16Personalities,Sebastian Wilder,La La Land (2016)
21,INFP,16Personalities,Sadness,Inside Out
22,INFP,All in one personality test,Tiana,The Princess and the Frog
22,INFP,All in one personality test,Belle,beauty and the beast
22,INFP,All in one personality test,Mulan,mulan
22,INFP,All in one personality test,Enola Holmes,Enola Holmes
23,INTP,16Personalities,Ashitaka ,Princess Mononoke
23,INTP,16Personalities, Hiromitsu Kosuke ,No Longer Heroine
23,INTP,16Personalities,Howl Pendragon ,Howl's Moving Castle
23,INTP,16Personalities,Dirk Burton ,Left Behind
23,INTP,16Personalities,Jiro Horikoshi ,The Wind Rises
23,INTP,16Personalities,Marnie ,When Marnie Was There
23,INTP,16Personalities,Lord Tewksbury ,Enola Holmes
24,ISFP,Personality Max,Alice Cullen,Twilight
24,ISFP,Personality Max,Rapunzel,Tangled
24,ISFP,Personality Max,Luna Lovegood,Harry Potter and the Order of the Phoenix
24,ISFP,Personality Max,Cedric Diggory,Harry Potter and the Goblet of Fire
25,INTP,Cognitive functions self-typing,Gavroche,Les Miserables
25,INTP,Cognitive functions self-typing,Kyojuro Rengoku,Demon Slayer Mugen Train
25,INTP,Cognitive functions self-typing,Enjolras,Les Miserables
25,INTP,Cognitive functions self-typing,Sonic,Sonic the Hedgehog
26,ISTP,Cognitive functions self-typing,Jace Wayland ,The Mortal Instruments: City of Bones
26,ISTP,Cognitive functions self-typing,Katniss Everdeen ,The Hunger Games (2012)
26,ISTP,Cognitive functions self-typing,Shrek ,Shrek (2001)
26,ISTP,Cognitive functions self-typing,John Wick ,John Wick (2014)
26,ISTP,Cognitive functions self-typing,Fa Mulan ,Mulan
26,ISTP,Cognitive functions self-typing,Levi Ackerman ,Attack on Titan
26,ISTP,Cognitive functions self-typing,Kate Dibiasky ,Don't Look Up 
27,INTP,16Personalities,Luna Lovegood,Harry Potter and the Order of the Phoenix
27,INTP,16Personalities,Sherlock Holmes , Sherlock Holmes
27,INTP,16Personalities,Hiccup ,How to train your dragon (2010)
27,INTP,16Personalities,Neo ,The Matrix
28,INFJ,16Personalities,Captain America,Captain America: The First Avenger
28,INFJ,16Personalities,Beatrice Prior,Divergent
28,INFJ,16Personalities,Elio,Call Me by Your Name
28,INFJ,16Personalities,Sophie,Aftersun
28,INFJ,16Personalities,Coriolanus Coryo Snow,The Ballad of Songbirds and Snakes (2023)
28,INFJ,16Personalities,Calum,Aftersun
29,INTJ,16Personalities,Aragorn,lord of the rings
29,INTJ,16Personalities,Bruce Wayne,Batman Returns
29,INTJ,16Personalities,jack sparrow,Pirates of the Caribbean: The Curse of the Black Pearl
29,INTJ,16Personalities,anakin skywalker,Star Wars: Episode I - The Phantom Menace
29,INTJ,16Personalities,Simba,Lion king
29,INTJ,16Personalities,Nathan Algren,last samurai
30,INTJ,16Personalities,Mavis Dracula,Hotel Transylvania (2012)
30,INTJ,16Personalities,Stephen Strange,Doctor Strange
30,INTJ,16Personalities,Peter Parker,Spider-Man: Far From Home
30,INTJ,16Personalities,Yuta Okkotsu,Jujutsu Kaisen 0
30,INTJ,16Personalities,Luna Lovegood,Harry Potter and the Order of the Phoenix
30,INTJ,16Personalities,Camilo Madrigal,Encanto
30,INTJ,16Personalities,Jack Frost,Rise of the Guardians
30,INTJ,16Personalities,Neteyam,Avatar: The Way of Water
30,INTJ,16Personalities,Akaza,Demon Slayer Mugen Train
31,INFP,16Personalities,Brian ,Breakfast Club
31,INFP,16Personalities,Ellis ,Shawshank Redemption 
31,INFP,16Personalities,Edward Scissorhands,Edward Scissorhands
31,INFP,16Personalities,Chihiro ,Spirited away
31,INFP,16Personalities,Luna Lovegood ,Harry Potter and the Order of the Phoenix
31,INFP,16Personalities,Howl ,Howl the moving castle
31,INFP,16Personalities,Charlie ,Perks of being a wallflower
31,INFP,16Personalities,Joker ,Joker (2019)
31,INFP,16Personalities,Karen Smith ,Mean Girls
31,INFP,16Personalities,Cameron ,Ten things I hate about you
32,INTP,16Personalities,Gru,despicable me
32,INTP,16Personalities,Stephen Strange,doctor strange 
32,INTP,16Personalities,Willy wonka,Charlie and the chocolate factory 
32,INTP,16Personalities,Haku,Spirited Away
32,INTP,16Personalities,Harley Quinn,Birds of prey
32,INTP,16Personalities,Baymax,Big Hero 6
33,INTJ,16Personalities,Emma Woodhouse,Emma 2020
33,INTJ,16Personalities,Flynn Rider,Tangled
33,INTJ,16Personalities,Tony Stark,Avengers: Endgame
33,INTJ,16Personalities,Mulan,Mulan
33,INTJ,16Personalities,Isabela Madrigal,Encanto
33,INTJ,16Personalities,Katniss Everdeen,The Hunger Games (2012)
34,ISTP,16Personalities,Po,Kung Fu Panda (2008)
34,ISTP,16Personalities,John Wick,John Wick (2014)
34,ISTP,16Personalities,Ip Man,Ip Man (2008)
35,ISTP,16Personalities,Wanda Maximoff,Avengers: Infinity War
35,ISTP,16Personalities,Bellatrix Lestrange,Harry Potter and the Deathly Hallows II
35,ISTP,16Personalities,Luna Lovegood,Harry Potter and the Order of The Phoenix 
35,ISTP,16Personalities,Raven,Teen Titans: Trouble in Tokyo
35,ISTP,16Personalities,Disgust,Inside Out
36,INFJ,16Personalities,Amy Elliott Dunne, Gone Girl
36,INFJ,16Personalities,Mia,La la land (2016)
36,INFJ,16Personalities,Beatrice,Divergent 
36,INFJ,16Personalities,Cruella de Vil ,Cruella
36,INFJ,16Personalities,Andrea,The Devil Wears Prada
37,INFJ,16Personalities,Maximus,Gladiator 
37,INFJ,16Personalities,Howl,Howl's Moving Castle
37,INFJ,16Personalities,Paul Atreides,Dune
37,INFJ,16Personalities,Ofelia,Pan's Labyrinth 
38,INTP,16Personalities,Evelyn Salt,Salt (2010)
38,INTP,16Personalities,Master Oogway,Kung Fu Panda (2008)
38,INTP,16Personalities,Suzume Iwato,Suzume no Tojimari
38,INTP,16Personalities,Robert Langdon,The Da Vinci Code
39,INTP,michaelcaloz.com,bowser,The Super Mario Bros. Movie
39,INTP,michaelcaloz.com,spider-punk,Spider-Man: Across the Spider-Verse
39,INTP,michaelcaloz.com,iron man,Avengers: Endgame
39,INTP,michaelcaloz.com,captain underpants,Captain Underpants: The First Epic Movie
40,INFJ,16Personalities,Emily,Corpse Bride
40,INFJ,16Personalities,Leia Organa,Star Wars
40,INFJ,16Personalities,Lucy,Two Weeks Notice
40,INFJ,16Personalities,Yas,Rye Lane
40,INFJ,16Personalities,Alice,Plus One
40,INFJ,16Personalities,Dani,Midsommar
40,INFJ,16Personalities,Arthur,Past Lives
40,INFJ,16Personalities,Sasha,Always Be My Maybe
41,ENTJ,16Personalities,Mark Watney,The Martian
41,ENTJ,16Personalities,Peter Parker,Spiderman
41,ENTJ,16Personalities,Hiro Hamada,Big Hero 6
41,ENTJ,16Personalities,Tony Stark,Iron Man
41,ENTJ,16Personalities,Hogarth Hughes,The Iron Giant
41,ENTJ,16Personalities,Miles Morales,Spider-Man: Into the Spider-Verse
41,ENTJ,16Personalities,Mai,Next Gen
41,ENTJ,16Personalities,Dr Emmett Doc Brown,Back to the Future
41,ENTJ,16Personalities,Jim Preston,Passengers
41,ENTJ,16Personalities,Neo,Matrix
42,ISTJ,16Personalities,Shun,From Up on Poppy Hill
42,ISTJ,16Personalities,Park Ki-Joon,Midnight Runners
42,ISTJ,16Personalities,Padre Burgos,Gomburza
42,ISTJ,16Personalities,Howl,Howl's Moving Castle
43,INFP,Cognitive functions self-typing,Barbie,Barbie: A Fairy Secret
43,INFP,Cognitive functions self-typing,Howl,Howl's Moving Castle
43,INFP,Cognitive functions self-typing,Raju,3 idiots
43,INFP,Cognitive functions self-typing,Sophie,Howl's Moving Castle
43,INFP,Cognitive functions self-typing,Elsa,Frozen (2013)
43,INFP,Cognitive functions self-typing,Isabela Madrigal,Encanto
43,INFP,Cognitive functions self-typing,Regina George,Mean Girls
43,INFP,Cognitive functions self-typing,Gojo,Jujutsu Kaisen: 0
43,INFP,Cognitive functions self-typing,Mei Mei,Jujutsu Kaisen: 0
43,INFP,Cognitive functions self-typing,Elle Woods,Legally Blonde
44,INFJ,16Personalities,Riggan Thomson,Birdman
44,INFJ,16Personalities,John Miller,Saving Private Ryan
44,INFJ,16Personalities,Joseph Cooper,Interstellar
44,INFJ,16Personalities,John Nash,A Beautiful Mind
44,INFJ,16Personalities,Oskar Schindler,Schindler's List
44,INFJ,16Personalities,John Anderton,Minority Report
44,INFJ,16Personalities,Andy Dufresne,The Shawshank Redemption
44,INFJ,16Personalities,Paul Hunham,The Holdovers
44,INFJ,16Personalities,Forrest Gump,Forrest Gump
44,INFJ,16Personalities,Bruce Wayne,The Dark Knight (2008)
45,INFJ,I forgot,Galadriel,Lord Of The Rings The Two Towers
45,INFJ,I forgot,Elle Woods,Legally Blonde
45,INFJ,I forgot,Elizabeth Bennet,Pride And Prejudice(2005)
45,INFJ,I forgot,Jane Smith,Mr. and Mrs. Smith (2005)
45,INFJ,I forgot,Sarah Connor,Terminator 2
45,INFJ,I forgot,Emma Woodhouse,Emma (Gwyneth Paltrow Version)
45,INFJ,I forgot,Hermione Granger,Harry Potter Goblet Of Fire
45,INFJ,I forgot,Nina,Point Of No Return
45,INFJ,I forgot,Trinity,Matrix
45,INFJ,I forgot,Katniss Everdeen,The Hunger Games (2012)
46,ENFP,sakinorva.net,Joy,Inside Out
46,ENFP,sakinorva.net,Veneer,Trolls Band Together
46,ENFP,sakinorva.net,Elle Woods,Legally Blonde
46,ENFP,sakinorva.net,Augustus,The Fault in Our Stars
46,ENFP,sakinorva.net,Benji,Pitch Perfect
46,ENFP,sakinorva.net,Arrietty,The Secret World of Arrietty
46,ENFP,sakinorva.net,Weird Barbie,Barbie
46,ENFP,sakinorva.net,Wade,Elemental
46,ENFP,sakinorva.net,Henry Roth,50 first dates
47,INTJ,16Personalities,Blue,Jurassic World
47,INTJ,16Personalities,Bakugo,My Hero Academia
47,INTJ,16Personalities,Hermione,Harry Potter
47,INTJ,16Personalities,Benji,Mission: Impossible
48,ENTJ,Cognitive functions self-typing,Baby,Baby Driver
48,ENTJ,Cognitive functions self-typing,Hobart Brown,Spider-man: Across the Spider-Verse
48,ENTJ,Cognitive functions self-typing,Cobb,Inception
48,ENTJ,Cognitive functions self-typing,Han Lue,The Fast and the Furious: Tokyo Drift
49,ISTP,Cognitive functions self-typing,Hawkeye,Avengers: Age Of Ultron
49,ISTP,Cognitive functions self-typing,12th Doctor,Twice Upon a Time
49,ISTP,Cognitive functions self-typing,Jack Frost,Rise of The Guardians
49,ISTP,Cognitive functions self-typing,The Flash,Justice League: Crisis on Infinite Earths (2024)
50,ISTJ,Cognitive functions self-typing,Lady Bird,Lady Bird
50,ISTJ,Cognitive functions self-typing,Dani,Midsommar
50,ISTJ,Cognitive functions self-typing,Amy,gone girl 
50,ISTJ,Cognitive functions self-typing,Summer,500 days of summer
50,ISTJ,Cognitive functions self-typing,Gary,Licorice Pizza
50,ISTJ,Cognitive functions self-typing,Justine,melancholia 
50,ISTJ,Cognitive functions self-typing,Miranda,the devil wears prada
51,ISFJ,16Personalities,Obi-Wan,Star Wars
51,ISFJ,16Personalities,Captain America,Avengers
51,ISFJ,16Personalities,Will Turner,Pirates of the Caribbean
51,ISFJ,16Personalities,Alice,Alice in Wonderland (1951)
52,ISFJ,Voice recording by proffesional typists,Obi-Wan Kenobi,Star Wars
52,ISFJ,Voice recording by proffesional typists,Ferdinand the bull,ferdinand the bull (1938)
52,ISFJ,Voice recording by proffesional typists,Forest gump,Forest Gump
53,ISTJ,I honestly don't remember but I get ISTJ every time so,Rita,Edge of Tomorrow
53,ISTJ,I honestly don't remember but I get ISTJ every time so,Obi-Wan Kenobi,Star Wars
53,ISTJ,I honestly don't remember but I get ISTJ every time so,Ellen Ripley,Alien
53,ISTJ,I honestly don't remember but I get ISTJ every time so,Miller,Event Horizon
53,ISTJ,I honestly don't remember but I get ISTJ every time so,Sarah Connor,Terminator
53,ISTJ,I honestly don't remember but I get ISTJ every time so,The Dude,The Big Lebowski
54,ISFJ,16Personalities,Jack Callaghan,While You Were Sleeping
54,ISFJ,16Personalities,Robin Hood,Robin Hood
54,ISFJ,16Personalities,George Bailey,It's A Wonderful Life
54,ISFJ,16Personalities,Korso,Titan A.E.
54,ISFJ,16Personalities,Henry Tilney,Northanger Abbey
54,ISFJ,16Personalities,Westley,The Princess Bride
54,ISFJ,16Personalities,Jake Hangman Seresin,Top Gun: Maverick
54,ISFJ,16Personalities,Dastan,Prince of Persia: The Sands of Time
54,ISFJ,16Personalities,Aragorn,The Lord of the Rings
54,ISFJ,16Personalities,Rick O'Connell,The Mummy
55,INTP,michaelcaloz.com,Iron Giant,The Iron Giant
55,INTP,michaelcaloz.com,Rango,Rango
55,INTP,michaelcaloz.com,Klaus,Klaus
55,INTP,michaelcaloz.com,Wall-E,WALL·E (2008)
56,ISTP,16Personalities,Sam Bell,Moon (2009)
56,ISTP,16Personalities,Mima Kirigoe,Perfect Blue 
56,ISTP,16Personalities,Motoko,Ghost in the shell
56,ISTP,16Personalities,Ripley,Alien 
57,ISTJ,Administered by institution,Hermione ,Harry Potter
57,ISTJ,Administered by institution,Andrew Neiman,Whiplash
57,ISTJ,Administered by institution,Forrest Gump ,Forrest Gump
57,ISTJ,Administered by institution,Mia ,La La Land (2016)
57,ISTJ,Administered by institution,Sebastian ,La La Land (2016)
57,ISTJ,Administered by institution,Aragorn ,Lord of the Rings
58,ISFJ,Meyers Briggs,Elizabeth Bennet,Pride and Prejudice (2005)
58,ISFJ,Meyers Briggs,The Djinn,Three Thousand Years of Longing
58,ISFJ,Meyers Briggs,Stitch,Lilo and Stitch
58,ISFJ,Meyers Briggs,Elinor,Sense and Sensibility (1995)
58,ISFJ,Meyers Briggs,Elwood Blues,The Blues Brothers 
58,ISFJ,Meyers Briggs,Cinderella ,Cinderella (2015)
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,MALEFICENT,Maleficent
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,HAKU,Spirited away
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,TURNIP,Howls moving castle
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,MURRAY,Hotel Transylvania (2012)
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,MAVIS DRACULA,Hotel Transylvania (2012)
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,PONYO,ponyo
59,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,THE FOX,The little prince
60,INFJ,16Personalities,Chris Nielsen,What Dreams May Come
60,INFJ,16Personalities,Pope Benedict,The Two Popes
60,INFJ,16Personalities,Juno MacGuff,Juno
60,INFJ,16Personalities,Prince Akeem,Coming to America
60,INFJ,16Personalities,Alexander Dane,Galaxy Quest
60,INFJ,16Personalities,Hermione,The Deathly Hallows: Part I
60,INFJ,16Personalities,Ellen Ripley,Alien
60,INFJ,16Personalities,Charlotte,Lost in Translation
60,INFJ,16Personalities,Bob Harris,Lost in Translation
60,INFJ,16Personalities,Wade Wilson,Deadpool
61,ISTP,Truity,Neil Perry,Dead poets society 
61,ISTP,Truity,Toothless,How to Train Your Dragon (2010)
61,ISTP,Truity,Daniel Atlas,Now You See Me
61,ISTP,Truity,Shrek,Shrek (2001)
62,ISTP,Cognitive functions self-typing,Eve,WALL·E (2008)
62,ISTP,Cognitive functions self-typing,Dory,finding Nemo 
62,ISTP,Cognitive functions self-typing,Matilda,Matilda
62,ISTP,Cognitive functions self-typing,Lapis lazuli,Steven Universe the movie
62,ISTP,Cognitive functions self-typing,Wallace,Scott Pilgrim vs The World
62,ISTP,Cognitive functions self-typing,Coraline,Coraline
63,ESTP,Cognitive functions self-typing,Blind Al,Deadpool
63,ESTP,Cognitive functions self-typing,Ursula,The Little Mermaid
63,ESTP,Cognitive functions self-typing,Robocop,Robocop
63,ESTP,Cognitive functions self-typing,Frank Castle,The Punisher
64,ISFP,Cognitive functions self-typing,Joseph Cooper,Interstellar
64,ISFP,Cognitive functions self-typing,John Rambo,Rambo: First Blood (1982)
64,ISFP,Cognitive functions self-typing,Philippe Petit,The Walk
64,ISFP,Cognitive functions self-typing,Aragorn,The Lord of the Rings
65,ESTJ,Cognitive functions self-typing,Owen Grady,Jurassic World (2015)
65,ESTJ,Cognitive functions self-typing,Cam,Tracers
65,ESTJ,Cognitive functions self-typing,Hermione Granger,Harry Potter
65,ESTJ,Cognitive functions self-typing,Jake Lonergan,Cowboys & Aliens
65,ESTJ,Cognitive functions self-typing,Auto,WALL·E (2008)
65,ESTJ,Cognitive functions self-typing,The Dragon,Damsel
65,ESTJ,Cognitive functions self-typing,Frank Martin,Transporter
65,ESTJ,Cognitive functions self-typing,SoundWave,Transformers: dark of the moon
65,ESTJ,Cognitive functions self-typing,Mr Fox,Fantastic Mr.fox
65,ESTJ,Cognitive functions self-typing,Michael Nantz,Battle Los Angeles 
66,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Trinity,The Matrix
66,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Morticia Addams,The Addams Family
66,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Jack Sparrow,Pirates of the Caribbean
66,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",John Wick,John Wick (2014)
67,ESTP,16Personalities,Flynn Rider,Tangled
67,ESTP,16Personalities,Regina George,Mean Girls
67,ESTP,16Personalities,Ken,Barbie
67,ESTP,16Personalities,Nick Wilde,Zootopia
68,ENFP,16Personalities,Officer K,Blade Runner 2049
68,ENFP,16Personalities,Captain Jack Sparrow,Pirates of the Caribbean: At World's End
68,ENFP,16Personalities,Miles Morales,Into the Spider-Verse
68,ENFP,16Personalities,John Wick,John Wick (2014)
69,ISTP,Cognitive functions self-typing,flynn rider,tangled
69,ISTP,Cognitive functions self-typing,megara,hercules
69,ISTP,Cognitive functions self-typing,alice,alice in wonderland
69,ISTP,Cognitive functions self-typing,merida,brave (2012)
70,ESTJ,Cognitive functions self-typing,Sweeney Todd,Sweeney Todd: Demon-barber from Fleet Street
70,ESTJ,Cognitive functions self-typing,John Kramer,Saw
70,ESTJ,Cognitive functions self-typing,Billy Loomis,Scream
70,ESTJ,Cognitive functions self-typing,Freddy Krueger,Nightmare on Elm Street
70,ESTJ,Cognitive functions self-typing,Galvatron,Transformers: The Movie
71,INTJ,Truity,Elsa,Frozen (2013)
71,INTJ,Truity,Newt,Maze Runner
71,INTJ,Truity,Margot,The Menu
71,INTJ,Truity,Wade,Elemental (2023)
72,ENFP,Cognitive functions self-typing,Harley Quinn,Suicide Squad
72,ENFP,Cognitive functions self-typing,Neo,The Matrix
72,ENFP,Cognitive functions self-typing,Fleur,The Way We Dance
72,ENFP,Cognitive functions self-typing,Tony Stark,Iron Man
73,INTP,16Personalities,Alan Turing,The Imitation Game
73,INTP,16Personalities,Dr Emmett Doc Brown,Back to the Future
73,INTP,16Personalities,Luna Lovegood,Harry Potter and the Order of the Phoenix
74,INTJ,16Personalities,Simon Tam,Serenity
74,INTJ,16Personalities,Q,Skyfall
74,INTJ,16Personalities,Ave,Primer
74,INTJ,16Personalities,Quincy Powell,Juice
75,ISTJ,Truity,Scar,The Lion King
